#Gender,Age,Heightin,Weightlbs,WritingPreference
M,19,65,185,R
M,28,74,185,R
M,20,70,141,R
M,24,73,195,L
M,22,71,135,R
M,35,69,203,R
M,21,67,157,R
M,36,69,165,L
M,28,69,175,R
M,27,71,240,R
M,31,68,192,R
M,31,68,155,R
M,28,69,210,R
M,26,70,150,R
M,36,72,260,R
M,22,67,155,L
M,23,70,181,R
M,39,70,180,L
M,21,70,220,R
M,29,70,180,R
M,24,74,224,R
M,36,68,175,R
M,32,76,220,R
M,32,72,190,L
M,20,74,170,R
M,23,66,135,R
M,29,70,180,L
M,21,69,145,R
M,20,72,195,R
M,21,70,176,R
M,25,66,170,R
M,29,71,241,R
M,19,68,155,R
M,26,70,180,R
M,20,74,197,R
M,29,72,191,R
M,19,67,245,R
M,23,71,213,R
M,20,69,170,R
M,26,70,230,R
M,37,66,127,L
M,22,68,190,R
M,49,67,188,R
M,23,68,200,R
M,36,68,220,L
M,34,71,195,R
M,22,74,235,R
M,26,72,185,R
M,30,70,175,R
M,29,74,172,R
M,34,71,240,R
M,34,70,185,R
M,45,72,190,R
M,33,66,168,R
M,38,68,195,R
M,21,68,187,R
M,30,71,175,R
M,44,70,195,R
M,43,67,140,R
M,21,67,185,R
M,30,66,150,L
M,38,67,170,R
M,29,70,190,R
M,36,72,185,R
M,36,74,182,L
M,42,67,205,R
M,31,72,225,R
M,24,73,240,R
M,24,71,170,R
M,31,68,223,R
M,21,70,145,L
M,21,73,222,L
M,35,73,235,R
M,42,69,165,R
M,29,70,185,L
M,27,66,160,R
M,21,70,180,L
M,22,72,185,R
M,21,66,150,L
M,36,73,225,L
M,42,74,240,L
M,30,72,230,R
M,41,72,195,R
M,26,69,155,R
M,29,68,170,L
M,22,71,205,R
M,42,72,225,R
M,46,73,230,R
M,26,66,168,R
M,24,70,190,R
M,50,67,177,R
M,39,71,220,R
M,51,69,198,R
M,27,76,225,R
M,34,67,150,R
M,30,76,270,R
M,28,69,165,R
M,45,67,189,L
M,38,69,170,R
M,47,72,205,R
M,36,68,150,R
M,39,67,174,R
M,38,71,191,R
M,29,74,218,L
M,41,73,215,R
M,28,68,155,R
M,33,70,184,R
M,42,68,220,R
M,30,74,215,R
M,28,69,190,R
M,24,75,185,R
M,29,77,250,R
M,32,67,170,R
M,34,71,190,R
M,33,68,195,R
M,30,71,260,R
M,46,69,220,L
M,35,70,265,R
M,36,66,155,R
M,27,72,230,L
M,27,68,150,R
M,36,73,200,R
M,53,69,190,R
M,39,72,228,R
M,40,72,180,R
M,50,71,220,R
M,57,66,170,R
M,39,69,215,R
M,42,66,200,R
M,40,72,215,R
M,44,69,195,R
M,21,70,200,R
M,44,68,195,L
M,25,71,210,R
M,39,73,270,R
M,35,69,170,R
M,52,72,210,R
M,38,74,248,R
M,36,74,230,R
M,35,66,215,R
M,42,70,189,R
M,50,72,225,R
M,42,68,215,R
M,45,75,250,R
M,46,72,195,L
M,33,70,175,R
M,49,72,181,R
M,26,66,194,R
M,32,69,215,R
M,42,69,193,R
M,48,67,170,R
M,50,68,196,L
M,27,70,214,R
M,50,71,220,R
M,43,70,190,R
M,45,72,170,L
M,51,70,150,R
M,40,70,220,R
M,40,70,220,R
M,40,64,156,R
M,38,74,247,R
M,26,70,160,R
M,27,81,167,L
M,39,71,220,R
M,37,71,235,R
M,31,69,225,R
M,38,66,150,R
M,26,68,200,R
M,52,69,220,R
M,32,68,145,R
M,30,73,155,R
M,24,74,220,R
M,44,66,215,R
M,58,69,166,R
M,53,68,185,R
M,47,72,165,R
M,35,72,204,L
M,39,71,220,R
M,37,72,208,R
M,22,75,210,L
M,31,69,205,R
M,54,67,160,R
M,34,74,196,R
M,29,72,235,R
M,33,72,240,R
M,27,70,220,R
M,34,68,214,R
M,36,72,170,R
M,40,71,160,R
M,36,68,176,R
M,41,68,170,L
M,29,72,158,R
M,32,73,211,R
M,48,67,168,R
M,33,71,220,R
M,27,70,167,R
M,46,73,205,R
M,26,68,185,R
M,30,70,205,R
M,46,68,198,R
M,41,67,210,R
M,43,66,170,R
M,27,72,205,R
M,42,72,210,R
M,40,72,250,L
M,34,72,235,R
M,44,70,150,R
M,28,74,200,R
M,42,72,220,R
M,24,70,200,R
M,47,72,243,R
M,30,68,185,R
M,27,72,202,R
M,32,73,215,R
M,29,70,205,L
M,29,73,195,R
M,33,66,140,R
M,29,72,195,R
M,23,71,195,R
M,22,72,210,R
M,28,73,215,R
M,44,70,205,R
M,50,71,220,R
M,40,72,242,R
M,32,74,260,R
M,56,74,185,L
M,28,71,180,R
M,26,74,165,R
M,44,71,280,L
M,45,74,220,R
M,29,64,140,R
M,42,73,185,R
M,35,69,177,R
M,23,75,160,R
M,51,69,200,R
M,27,72,165,R
M,42,69,238,R
M,27,72,200,R
M,29,71,210,R
M,24,70,155,R
M,39,73,235,R
M,46,68,187,R
M,41,69,200,R
M,41,74,190,R
M,39,72,190,R
M,39,72,255,L
M,55,70,185,R
M,40,66,175,R
M,34,71,188,R
M,41,69,175,R
M,38,73,230,R
M,44,69,178,R
M,30,67,197,R
M,21,68,155,R
M,41,70,224,R
M,32,70,197,R
M,41,70,180,L
M,41,66,157,R
M,28,69,210,R
M,37,71,190,R
M,56,67,140,L
M,42,74,200,R
M,50,66,178,R
M,45,68,190,R
M,46,73,245,R
M,25,67,145,R
M,38,71,238,R
M,47,69,215,R
M,44,72,242,R
M,44,71,206,R
M,29,67,167,R
M,51,78,170,R
M,35,70,182,R
M,28,69,170,R
M,41,71,210,R
M,26,72,180,R
M,26,71,189,R
M,40,70,237,R
M,24,68,166,R
M,30,73,210,L
M,50,69,178,L
M,26,71,210,R
M,50,74,182,R
M,19,66,140,R
M,28,70,185,N
M,27,66,150,R
M,39,68,170,L
M,21,70,155,R
M,43,71,197,R
M,44,70,215,R
M,19,72,200,L
M,23,69,210,R
M,31,71,212,R
M,22,71,167,L
M,43,67,182,R
M,35,67,195,R
